step;virtual;physical
927;2417;1908
928;2416;1907
929;2417;1906
930;2418;1907
931;2420;1908
932;2418;1907
933;2419;1908
934;2419;1908
935;2420;1908
936;2420;1908
937;2420;1908
938;2420;1907
939;2420;1908
940;2420;1907
941;2421;1908
942;2421;1908
943;2421;1907
944;2422;1908
945;2423;1908
946;2423;1908
947;2424;1907
948;2424;1908
949;2425;1906
950;2426;1906
951;2428;1907
952;2429;1908
953;2430;1908
954;2429;1906
955;2431;1908
956;2431;1908
957;2431;1907
958;2432;1908
959;2432;1907
960;2432;1905
961;2432;1903
962;2434;1904
963;2435;1904
964;2438;1905
965;2441;1908
966;2441;1906
967;2443;1908
968;2444;1908
969;2444;1908
970;2443;1908
971;2444;1908
972;2442;1907
973;2443;1907
974;2443;1908
975;2444;1908
976;2444;1908
977;2443;1906
978;2442;1905
979;2445;1907
980;2447;1907
981;2448;1907
982;2448;1906
983;2448;1906
984;2450;1906
985;2449;1906
986;2451;1907
987;2452;1908
988;2449;1905
989;2449;1905
990;2451;1906
991;2453;1908
992;2453;1908
993;2453;1907
994;2454;1908
995;2454;1908
996;2455;1908
997;2454;1908
998;2457;1909
999;2456;1907
1000;2456;1907
1001;2457;1908
1002;2458;1908
1003;2458;1907
1004;2458;1907
1005;2460;1908
1006;2459;1904
1007;2460;1906
1008;2462;1908
1009;2463;1908
1010;2463;1908
1011;2463;1907
1012;2465;1909
1013;2466;1907
1014;2466;1907
1015;2467;1907
1016;2469;1908
1017;2470;1908
1018;2471;1909
1019;2470;1907
1020;2471;1906
1021;2472;1907
1022;2474;1907
1023;2474;1907
1024;2475;1907
1025;2476;1908
1026;2476;1908
1027;2476;1908
1028;2476;1907
1029;2477;1908
1030;2477;1907
1031;2477;1907
1032;2479;1908
1033;2480;1908
1034;2482;1908
1035;2482;1908
1036;2482;1906
1037;2482;1905
1038;2484;1906
1039;2484;1905
1040;2484;1904
1041;2484;1902
1042;2485;1902
1043;2485;1901
1044;2486;1901
1045;2489;1903
1046;2491;1904
1047;2491;1903
1048;2491;1903
1049;2492;1903
1050;2492;1903
1051;2492;1903
1052;2493;1904
1053;2493;1903
1054;2493;1902
1055;2493;1901
1056;2492;1900
1057;2495;1903
1058;2499;1905
1059;2499;1904
1060;2498;1903
1061;2501;1906
1062;2504;1908
1063;2503;1907
1064;2503;1907
1065;2503;1906
1066;2504;1904
1067;2504;1905
1068;2505;1904
1069;2507;1906
1070;2507;1906
1071;2508;1905
1072;2507;1904
1073;2510;1907
1074;2511;1908
1075;2511;1907
1076;2510;1906
1077;2510;1904
1078;2510;1904
1079;2509;1903
1080;2508;1902
1081;2508;1902
1082;2509;1901
1083;2511;1903
1084;2516;1908
1085;2517;1907
1086;2517;1906
1087;2517;1905
1088;2517;1904
1089;2518;1904
1090;2520;1905
1091;2522;1906
1092;2524;1908
1093;2524;1907
1094;2524;1906
1095;2524;1905
1096;2524;1905
1097;2525;1905
1098;2526;1906
1099;2528;1908
1100;2527;1906
1101;2528;1905
1102;2528;1903
1103;2530;1904
1104;2531;1903
1105;2534;1905
1106;2533;1903
1107;2536;1905
1108;2536;1905
1109;2538;1906
1110;2540;1906
1111;2542;1907
1112;2544;1905
1113;2546;1907
1114;2548;1907
1115;2549;1908
1116;2549;1908
1117;2549;1908
1118;2550;1908
1119;2550;1908
1120;2551;1907
1121;2552;1907
1122;2552;1906
1123;2552;1906
1124;2553;1907
1125;2555;1908
1126;2553;1907
1127;2554;1907
1128;2556;1907
1129;2555;1905
1130;2558;1906
1131;2560;1908
1132;2559;1906
1133;2562;1908
1134;2561;1906
1135;2560;1905
1136;2561;1905
1137;2563;1906
1138;2565;1907
1139;2565;1905
1140;2566;1905
1141;2566;1905
1142;2566;1905
1143;2568;1907
1144;2570;1906
1145;2574;1908
1146;2575;1908
1147;2574;1906
1148;2576;1908
1149;2576;1908
1150;2576;1907
1151;2577;1907
1152;2579;1907
1153;2579;1907
1154;2579;1907
1155;2579;1907
1156;2582;1908
1157;2582;1909
1158;2584;1907
1159;2584;1907
1160;2585;1908
1161;2586;1909
1162;2586;1909
1163;2586;1909
1164;2586;1909
1165;2586;1907
1166;2586;1907
1167;2586;1907
1168;2588;1909
1169;2589;1909
1170;2588;1908
1171;2588;1907
1172;2589;1908
1173;2589;1908
1174;2589;1908
1175;2589;1908
1176;2590;1908
1177;2590;1908
1178;2590;1908
1179;2590;1908
1180;2590;1908
1181;2590;1909
1182;2590;1909
1183;2590;1909
1184;2590;1909
1185;2590;1909
1186;2590;1909
1187;2588;1907
1188;2589;1907
1189;2589;1907
1190;2589;1907
1191;2590;1907
1192;2590;1907
1193;2590;1907
1194;2591;1907
1195;2591;1907
1196;2591;1907
1197;2592;1907
1198;2592;1907
1199;2592;1907
1200;2592;1907
1201;2592;1907
1202;2593;1907
1203;2593;1907
1204;2594;1907
1205;2594;1906
1206;2593;1906
1207;2593;1906
1208;2593;1906
1209;2593;1906
1210;2593;1906
1211;2593;1906
1212;2593;1906
1213;2593;1906
1214;2593;1906
1215;2593;1906
1216;2593;1906
1217;2594;1906
1218;2594;1906
1219;2594;1907
1220;2595;1908
1221;2595;1908
1222;2594;1907
1223;2595;1908
1224;2596;1908
1225;2594;1906
1226;2595;1907
1227;2596;1908
1228;2596;1908
1229;2595;1907
1230;2592;1905
1231;2592;1905
1232;2594;1907
1233;2596;1908
1234;2596;1908
1235;2594;1907
1236;2594;1906
1237;2593;1906
1238;2595;1908
1239;2595;1908
1240;2595;1907
1241;2595;1907
1242;2595;1908
1243;2595;1908
1244;2596;1908
1245;2596;1908
1246;2596;1908
1247;2596;1908
1248;2595;1908
1249;2594;1907
1250;2594;1906
1251;2592;1905
1252;2592;1905
1253;2592;1905
1254;2592;1905
1255;2593;1905
1256;2595;1908
1257;2596;1909
1258;2596;1909
1259;2595;1908
1260;2595;1908
1261;2594;1906
1262;2594;1906
1263;2594;1907
1264;2596;1908
1265;2596;1908
1266;2595;1908
1267;2594;1907
1268;2594;1907
1269;2595;1908
1270;2595;1908
1271;2595;1908
1272;2596;1908
1273;2596;1908
1274;2596;1908
1275;2595;1908
1276;2594;1907
1277;2594;1907
1278;2595;1907
1279;2595;1907
1280;2595;1907
1281;2595;1907
1282;2596;1908
1283;2596;1908
1284;2595;1907
1285;2595;1907
1286;2595;1908
1287;2595;1908
1288;2595;1907
1289;2595;1907
1290;2595;1907
1291;2595;1907
1292;2595;1907
1293;2595;1907
1294;2594;1907
1295;2594;1907
1296;2593;1906
1297;2593;1906
1298;2593;1906
1299;2594;1907
1300;2594;1907
1301;2594;1907
1302;2594;1907
1303;2594;1907
1304;2594;1907
1305;2594;1907
1306;2593;1906
1307;2593;1906
1308;2593;1906
1309;2593;1906
1310;2593;1906
1311;2593;1906
1312;2594;1907
1313;2595;1907
1314;2595;1907
1315;2595;1908
1316;2595;1908
1317;2596;1908
1318;2596;1908
1319;2596;1908
1320;2595;1908
1321;2595;1907
1322;2595;1907
1323;2596;1908
1324;2594;1906
1325;2594;1906
1326;2595;1908
1327;2596;1908
1328;2596;1908
1329;2596;1908
1330;2595;1907
1331;2595;1907
1332;2594;1907
1333;2595;1907
1334;2596;1908
1335;2594;1907
1336;2595;1907
1337;2596;1908
1338;2596;1908
1339;2596;1908
1340;2596;1908
1341;2595;1908
1342;2595;1908
1343;2595;1908
1344;2595;1907
1345;2595;1907
1346;2595;1907
1347;2595;1907
1348;2595;1907
1349;2595;1907
1350;2595;1907
1351;2595;1907
1352;2595;1907
1353;2595;1907
1354;2594;1907
1355;2594;1907
1356;2594;1907
1357;2595;1907
1358;2595;1908
1359;2596;1908
1360;2596;1908
1361;2596;1908
1362;2596;1908
1363;2595;1907
1364;2596;1908
1365;2596;1908
1366;2596;1908
1367;2595;1908
1368;2595;1908
1369;2596;1909
1370;2596;1909
1371;2596;1909
1372;2596;1909
1373;2596;1908
1374;2596;1908
1375;2595;1908
1376;2595;1908
1377;2595;1908
1378;2596;1908
1379;2595;1908
1380;2595;1908
1381;2596;1908
1382;2596;1908
1383;2596;1908
1384;2596;1908
1385;2596;1908
1386;2596;1908
1387;2596;1908
1388;2596;1908
1389;2596;1908
1390;2596;1908
1391;2596;1908
1392;2596;1908
1393;2596;1908
1394;2595;1907
1395;2595;1907
1396;2596;1908
1397;2596;1908
1398;2596;1908
1399;2596;1908
1400;2596;1908
1401;2596;1908
1402;2596;1908
1403;2596;1908
1404;2596;1908
1405;2596;1908
1406;2596;1908
1407;2596;1908
1408;2596;1908
1409;2596;1908
1410;2596;1908
1411;2596;1908
1412;2596;1908
1413;2596;1908
1414;2596;1908
1415;2595;1907
1416;2595;1907
1417;2595;1907
1418;2595;1907
1419;2595;1907
1420;2595;1907
1421;2595;1908
